word,score
oil,8.800521231913237
isolated,8.12415060330663
win,8.047189562170502
energy,7.363737193368922
listen,6.0447090616267936
promises,6.0447090616267936
corporation,6.0447090616267936
thinks,5.41610040220442
gradually,5.41610040220442
comments,5.41610040220442
defined,5.41610040220442
1980s,5.41610040220442
shortages,4.828313737302301
camp,4.828313737302301
david,4.828313737302301
confidence,4.652323924557591
crisis,4.597430613893916
deeper,4.5814536593707755
dependence,4.5814536593707755
faith,4.086604990127926
narrow,4.029806041084529
got,4.029806041084529
meaning,4.029806041084529
willingness,4.029806041084529
leads,4.029806041084529
read,3.9652675199469583
believed,3.9652675199469583
conservation,3.7716519565342446
sacrifice,3.6651629274966204
always,3.5757793663619353
path,3.5757793663619353
heard,3.2958368660043287
point,3.243720864865315
idea,3.2188758248682006
answers,3.2188758248682006
regain,3.2188758248682006
imported,3.2188758248682006
quotas,3.2188758248682006
shale,3.2188758248682006
whenever,3.2188758248682006
purpose,3.1430432971118707
until,3.1430432971118707
your,3.1015492830383944
gasoline,2.7488721956224653
lot,2.7488721956224653
coal,2.7488721956224653
exactly,2.70805020110221
nomination,2.70805020110221
feels,2.70805020110221
draws,2.70805020110221
occasions,2.70805020110221
